id,code,title,category,subcategory,tags,originalFile,image
drop_0031,102004,看護師,人・動植物,職業・役割,看護師、人・動植物、職業・役割、102004、かんごし、ナース、人物、人、ひと、生き物,ドロップス/102004看護師.gif,assets/images/drop_0031.gif
drop_0032,102005,消防士,人・動植物,職業・役割,消防士、人・動植物、職業・役割、102005、レスキュー、しょうぼうし、消防、人物、人、ひと、生き物,ドロップス/102005消防士.gif,assets/images/drop_0032.gif
drop_0033,102007,校長先生(男性)(髭あり),人・動植物,職業・役割,校長先生(男性)(髭あり)、校長先生、男性、髭あり、人・動植物、職業・役割、102007、男、おとこ、男子、こうちょう、校長、だんし、メンズ、だんせい、人物、人、ひと、生き物,ドロップス/102007校長先生(男性)(髭あり).gif,assets/images/drop_0033.gif
drop_0034,102009,校長先生(女性),人・動植物,職業・役割,校長先生(女性)、校長先生、女性、人・動植物、職業・役割、102009、おんな、こうちょう、女、レディース、じょせい、校長、じょし、女子、人物、人、ひと、生き物,ドロップス/102009校長先生(女性).gif,assets/images/drop_0034.gif
drop_0035,102010,保育士,人・動植物,職業・役割,保育士、人・動植物、職業・役割、102010、保育園の先生、ほいくし、人物、人、ひと、生き物,ドロップス/102010保育士.gif,assets/images/drop_0035.gif
drop_0036,102011,言語聴覚士(ST),人・動植物,職業・役割,言語聴覚士(ST)、言語聴覚士、ST、人・動植物、職業・役割、102011、ことばの先生、人物、人、ひと、生き物,ドロップス/102011言語聴覚士(ST).gif,assets/images/drop_0036.gif
drop_0037,102012,作業療法士(OT),人・動植物,職業・役割,作業療法士(OT)、作業療法士、OT、人・動植物、職業・役割、102012、人物、人、ひと、生き物,ドロップス/102012作業療法士(OT).gif,assets/images/drop_0037.gif
drop_0038,102013,理学療法士(PT),人・動植物,職業・役割,理学療法士(PT)、理学療法士、PT、人・動植物、職業・役割、102013、人物、人、ひと、生き物,ドロップス/102013理学療法士(PT).gif,assets/images/drop_0038.gif
drop_0039,102014,歯科医,人・動植物,職業・役割,歯科医、人・動植物、職業・役割、102014、歯医者、しかい、歯科、人物、人、ひと、生き物,ドロップス/102014歯科医.gif,assets/images/drop_0039.gif
drop_0040,102015,神様,人・動植物,職業・役割,神様、人・動植物、職業・役割、102015、かみさま、人物、人、ひと、生き物,ドロップス/102015神様.gif,assets/images/drop_0040.gif
drop_0041,102016,サンタクロース,人・動植物,職業・役割,サンタクロース、人・動植物、職業・役割、102016、サンタ、人物、人、ひと、生き物,ドロップス/102016サンタクロース.gif,assets/images/drop_0041.gif
drop_0042,102019,先生(女性),人・動植物,職業・役割,先生(女性)、先生、女性、人・動植物、職業・役割、102019、おんな、せんせい、教員、女、レディース、じょせい、教師、じょし、女子、人物、人、ひと、生き物,ドロップス/102019先生(女性).png,assets/images/drop_0042.png
drop_0043,102020,医師(女性),人・動植物,職業・役割,医師(女性)、医師、女性、人・動植物、職業・役割、102020、おんな、医者、ドクター、女、レディース、じょせい、じょし、いし、女子、人物、人、ひと、生き物,ドロップス/102020医師(女性).png,assets/images/drop_0043.png
drop_0044,102021,電車の運転手,人・動植物,職業・役割,電車の運転手、電車、運転手、人・動植物、職業・役割、102021、でんしゃ、人物、人、ひと、生き物,ドロップス/102021電車の運転手.png,assets/images/drop_0044.png
drop_0045,102022,美容師(男性),人・動植物,職業・役割,美容師(男性)、美容師、男性、人・動植物、職業・役割、102022、ヘアスタイリスト、男、おとこ、男子、びようし、だんし、メンズ、だんせい、人物、人、ひと、生き物,ドロップス/102022美容師(男性).png,assets/images/drop_0045.png
drop_0046,102023,美容師(女性),人・動植物,職業・役割,美容師(女性)、美容師、女性、人・動植物、職業・役割、102023、おんな、ヘアスタイリスト、びようし、女、レディース、じょせい、じょし、女子、人物、人、ひと、生き物,ドロップス/102023美容師(女性).png,assets/images/drop_0046.png
drop_0047,102024,高校生(男子),人・動植物,職業・役割,高校生(男子)、高校生、男子、人・動植物、職業・役割、102024、男、おとこ、男性、こうこうせい、高校、だんし、メンズ、だんせい、人物、人、ひと、生き物,ドロップス/102024高校生(男子).png,assets/images/drop_0047.png
drop_0048,102025,高校生(女子),人・動植物,職業・役割,高校生(女子)、高校生、女子、人・動植物、職業・役割、102025、おんな、こうこうせい、高校、女性、女、レディース、じょせい、じょし、人物、人、ひと、生き物,ドロップス/102025高校生(女子).png,assets/images/drop_0048.png
drop_0049,102026,鵜匠(1),人・動植物,職業・役割,鵜匠(1)、鵜匠、1、人・動植物、職業・役割、102026、一、いち、人物、人、ひと、生き物,ドロップス/102026鵜匠(1).png,assets/images/drop_0049.png
drop_0050,102027,鵜匠(2),人・動植物,職業・役割,鵜匠(2)、鵜匠、2、人・動植物、職業・役割、102027、に、二、人物、人、ひと、生き物,ドロップス/102027鵜匠(2).png,assets/images/drop_0050.png
drop_0051,103001,顔,人・動植物,からだ,顔、人・動植物、からだ、103001、身体、フェイス、体、かお、人物、人、ひと、生き物,ドロップス/103001顔.gif,assets/images/drop_0051.gif
drop_0052,103002,目,人・動植物,からだ,目、人・動植物、からだ、103002、アイ、身体、め、体、人物、人、ひと、生き物,ドロップス/103002目.gif,assets/images/drop_0052.gif
drop_0053,103003,耳,人・動植物,からだ,耳、人・動植物、からだ、103003、みみ、体、身体、人物、人、ひと、生き物,ドロップス/103003耳.gif,assets/images/drop_0053.gif
drop_0054,103004,鼻,人・動植物,からだ,鼻、人・動植物、からだ、103004、体、はな、身体、人物、人、ひと、生き物,ドロップス/103004鼻.gif,assets/images/drop_0054.gif
drop_0055,103005,口,人・動植物,からだ,口、人・動植物、からだ、103005、くち、身体、マウス、体、人物、人、ひと、生き物,ドロップス/103005口.gif,assets/images/drop_0055.gif
drop_0056,103006,歯,人・動植物,からだ,歯、人・動植物、からだ、103006、は、身体、体、人物、人、ひと、生き物,ドロップス/103006歯.gif,assets/images/drop_0056.gif
drop_0057,103007,首,人・動植物,からだ,首、人・動植物、からだ、103007、くび、体、身体、人物、人、ひと、生き物,ドロップス/103007首.gif,assets/images/drop_0057.gif
drop_0058,103008,髪の毛,人・動植物,からだ,髪の毛、髪、毛、人・動植物、からだ、103008、身体、かみ、ヘア、体、人物、人、ひと、生き物,ドロップス/103008髪の毛.gif,assets/images/drop_0058.gif
drop_0059,103009,腕,人・動植物,からだ,腕、人・動植物、からだ、103009、身体、うで、体、人物、人、ひと、生き物,ドロップス/103009腕.gif,assets/images/drop_0059.gif
drop_0060,103010,手,人・動植物,からだ,手、人・動植物、からだ、103010、体、て、身体、人物、人、ひと、生き物,ドロップス/103010手.gif,assets/images/drop_0060.gif
